,ORBITID,CCDNUM,DEC,EXPNUM,RA,TDB,BAND,MJD,MAG,DETPROB,RANDOM
89,683,58,-54.45636866444794,796720,-0.13988451307689254,18.903846574774327,g,58449.12916070758,22.87496788102535,0.8957869818774556,0.14740996043529664
90,683,50,-56.57463214389803,350902,0.5550175426832147,14.638667767080126,g,56891.27262434758,22.87496788102535,0.8843949433164204,0.4456062267805121
91,683,4,-55.00657167086247,697573,-0.2917008430786793,17.882371934276364,g,58076.03554826757,22.87496788102535,0.8719442286905538,0.2647665811360249
92,683,22,-56.7848386342121,261198,-1.3728621516808321,13.931888550695012,g,56633.12151555758,22.87496788102535,0.9000103801035215,0.26955907902609744
93,683,38,-57.16478039437797,231889,-0.009060643072851308,13.68826711130178,g,56544.13878482758,22.87496788102535,0.8616809004214806,0.25832113011352853
94,683,10,-55.20648403609338,678870,0.7051063734852759,17.713036817057045,g,58014.18589670758,22.87496788102535,0.8971287056881041,0.16884555167552884
95,683,3,-56.609364285600755,373186,-0.7442899236522861,14.82969805178063,i,56961.04643583758,21.267049818134318,0.9068037489699966,0.10637406253449744
96,683,19,-55.587080520304454,590114,-0.3675972790320725,16.847523274765123,i,57698.05708695757,21.267049818134318,0.9131822505325202,0.15018968498058916
97,683,9,-55.147866124271715,691931,-0.025591825959333566,17.824986434663234,i,58055.07549453757,21.267049818134318,0.9129867782915286,0.1080630228928594
98,683,26,-55.206493329440804,678873,0.7050258232212879,17.713048304011355,i,58014.19009231758,21.267049818134318,0.9036248037599726,0.914403004701258
99,683,18,-56.65295352061107,370265,-0.6006266504906317,14.805604951955807,i,56952.24643112758,21.267049818134318,0.9184054265612216,0.04976347307295714
100,683,52,-56.79552329750107,260835,-1.3686965226297145,13.92917335069457,i,56632.12978875758,21.267049818134318,0.9010192208667979,0.08681521719853025
101,683,26,-55.206496381208694,678874,0.7049993371370491,17.7130520809585,r,58014.19147184757,21.715530196325833,0.888089996285738,0.43223897660434796
102,683,58,-54.4563814296792,796719,-0.13987390153929777,18.903842791503624,r,58449.12777886757,21.715530196325833,0.9058611622450318,0.4258207834512707
103,683,44,-56.08710526680951,466793,0.7440281064708457,15.643460179274006,r,57258.27304132757,21.715530196325833,0.8928680376053854,0.4412186647268651
104,683,4,-55.00658311911022,697572,-0.2916867947248335,17.88236815639853,r,58076.03416839758,21.715530196325833,0.8944033852432117,0.2527002476350697
105,683,22,-56.784823590043004,261199,-1.3728679577171687,13.931892321044495,r,56633.12289267757,21.715530196325833,0.9193071254863073,0.658438888530445
106,683,50,-56.57464060939461,350903,0.5549941040484114,14.63867150591763,r,56891.27398995758,21.715530196325833,0.8903618136805604,0.4678666359064496
107,683,3,-56.520256534428675,377031,-0.9246401245216759,14.865649866516529,r,56974.17783616758,21.715530196325833,0.8951218367078656,0.1729458511319607
108,683,62,-55.15706455722448,691203,0.0031999632692855896,17.81985509089794,z,58053.20127122758,21.08980605969559,0.9095297378689077,0.6304274946897032
109,683,25,-55.157084452038724,691200,0.003265050318639772,17.819843812512712,z,58053.19715179758,21.08980605969559,0.8965178283183582,0.4463234122980465
110,683,22,-56.73001650363045,262985,-1.3884167269605303,13.945512397433493,z,56638.09762557757,21.08980605969559,0.9175959665218836,0.17932640567558533
111,683,39,-57.04367812420283,252221,-1.1273313237783862,13.855294506349779,z,56605.14554086758,21.08980605969559,0.8919579544860732,0.5330562060025349
112,683,19,-55.587089572856655,590113,-0.36757820223183657,16.84751948182804,z,57698.05570158757,21.08980605969559,0.911851823695793,0.6814255795741749
113,683,16,-57.02151597054162,253115,-1.1644834671328055,13.863285486419594,z,56608.06424633758,21.08980605969559,0.9029679960421768,0.4108203220017512
114,683,38,-55.70843548537062,580820,0.16446469438955114,16.759930676508862,z,57666.06389044758,21.08980605969559,0.8995083991555656,0.2995542797445885
115,683,42,-56.174924082694325,485277,-0.28754030738687775,15.793616178358503,z,57313.11751999758,21.08980605969559,0.886131082043258,0.17882116203211917
116,683,26,-54.72000232105177,775502,0.8955994907633437,18.715340380068035,z,58380.27727309758,21.08980605969559,0.9000076205295046,0.8549445226661783
117,683,52,-56.718760182042786,263537,-1.3904672546186898,13.948254318037382,z,56639.09911207757,21.08980605969559,0.9000248677688741,0.6121650289461213
118,694,34,-60.97757995098294,773319,-44.20272398872888,18.701501173362093,g,58375.22250284757,22.758492363269323,0.8545123711871435,0.5352423601749009
119,694,29,-62.15907133697779,362309,-46.065639933454875,14.733784589571915,g,56926.01404376757,22.758492363269323,0.8528435770932771,0.36458220985525824
120,694,18,-61.61451533698998,572212,-44.96588119770469,16.68636153696706,g,57639.19276222758,22.758492363269323,0.8595117948148153,0.5576658592945118
121,694,57,-61.557784630229115,576063,-45.1616454941208,16.72703633696239,g,57654.04923292757,22.758492363269323,0.8806103370502278,0.7179329241709339
122,694,15,-61.506989003158026,580211,-45.263189269689015,16.754357650746453,g,57664.02834278758,22.758492363269323,0.8260145412758312,0.9056262098001572
123,694,57,-61.55779735298992,576061,-45.161612924495415,16.72702874988471,i,57654.04646174757,21.577201025377658,0.9051440655900631,0.032244450423415616
124,694,22,-62.060890476436136,367131,-46.20867381714839,14.780423161126258,i,56943.04878202757,21.577201025377658,0.8842662626964092,0.06471912890617393
125,694,27,-61.2461382621421,680691,-44.7450791228139,17.729082053688174,i,58020.04641938757,21.577201025377658,0.8922045540544193,0.4483846227511963
126,694,10,-61.23670883701571,681501,-44.767153177732695,17.734565219463867,i,58022.04914568758,21.577201025377658,0.8910858883770083,0.7459238563693873
127,694,6,-61.13579112563654,686789,-44.91621082936188,17.7837711544955,i,58040.02161345757,21.577201025377658,0.8878413836377959,0.6150239175563622
128,694,27,-60.74267584955668,787661,-44.54741389080797,18.81872874187703,i,58418.03987224757,21.577201025377658,0.8830491918333967,0.867067193241158
129,694,33,-62.13821058332781,363726,-46.10698597820222,14.744774728544758,i,56930.02819202757,21.577201025377658,0.888020149485203,0.5332407865297912
130,694,59,-62.246068380367184,354886,-45.754534105961525,14.671018606006415,i,56903.08876826757,21.577201025377658,0.9003269497476465,0.5772302418441745
131,694,15,-61.50699658973907,580210,-45.263176859859,16.754353906899823,r,57664.02697534757,21.884809066083164,0.854252935928666,0.055118099111804875
132,694,34,-60.977584799734764,773318,-44.20270527386738,18.701497431021135,r,58375.22113595757,21.884809066083164,0.8533903194624487,0.2554835995918132
133,694,30,-61.890182723894284,475797,-45.525335200216,15.711329692610347,r,57283.06238107757,21.884809066083164,0.8768098139583054,0.5164235433262391
134,694,29,-62.18712709045046,360530,-45.99630607691885,14.717466269682415,r,56920.05377742757,21.884809066083164,0.8541345839564991,0.16769596477135573
135,694,26,-62.060620551664655,367157,-46.20892578749059,14.780536963918065,r,56943.09034849757,21.884809066083164,0.8833094396852529,0.4528461675275378
136,694,57,-61.55779100556528,576062,-45.16162917563683,16.727032535566273,r,57654.04784446758,21.884809066083164,0.8872287398024853,0.2789450180763785
137,694,6,-61.135782313421146,686790,-44.916219062751715,17.783774948772514,r,58040.02299931757,21.884809066083164,0.8685212693873262,0.030556114181393035
138,694,15,-61.47224991769653,582078,-45.310616652493174,16.770727065749988,z,57670.00727161758,21.446117155093845,0.893095615320427,0.10485554241686612
139,694,30,-61.89017710554624,475798,-45.52535332532238,15.711333463726051,z,57283.06375847758,21.446117155093845,0.8909604159625457,0.6024122070942682
140,694,54,-62.12717628185304,364557,-46.12602807228647,14.750291543493539,z,56932.04320868757,21.446117155093845,0.8930844933863663,0.016293345295140926
141,745,30,-51.08623637542296,230113,-27.67486097801038,13.67200882319958,g,56538.20044509757,24.12400042422543,0.6279842811386782,0.012621067003445563
142,745,47,-51.07718312761552,580265,-27.281041092592385,16.754562916727973,g,57664.10331618757,24.12400042422543,0.432963842322061,0.21468679684770164
143,745,42,-50.97552290482783,696561,-27.220012109592314,17.874372339230252,g,58073.11369617758,24.12400042422543,0.31696822555156035,0.8386719270364873
144,745,33,-51.08749807440214,230824,-27.687983362730403,13.677067355629031,g,56540.04807406758,24.12400042422543,0.43132767394362836,0.3167703982356733
145,745,10,-51.06474299239947,367465,-27.724448977140806,14.78327064701194,g,56944.08882624758,24.12400042422543,0.4448735039621147,0.019172759497328662
146,745,10,-51.08272884437568,577735,-27.24668828002061,16.738092029966626,g,57658.08732479758,24.12400042422543,0.6579044714393819,0.48931508970276316
147,745,30,-51.08998669941274,359592,-27.566331801181565,14.706708569095523,i,56916.12452728757,22.690011944994904,0.8404819950920722,0.19669788361585538
148,745,10,-51.08273085142016,577733,-27.246671585093758,16.738084489214117,i,57658.08457053758,22.690011944994904,0.8927000951578749,0.2575751600307925
149,745,10,-51.086994704842475,230510,-27.68251576510552,13.674948904760058,i,56539.27430988757,22.690011944994904,0.9008421941698113,0.5472698370411535
150,745,42,-50.97553195500815,696559,-27.220010984118378,17.874364783939924,i,58073.11093660758,22.690011944994904,0.8581674031507344,0.3227613604199223
151,745,59,-51.07950781928804,240995,-27.872181867518034,13.75634652449253,i,56569.00479049757,22.690011944994904,0.8917900506729957,0.2524489173233513
152,745,41,-51.03425457503834,586540,-27.382889995858708,16.820081917772068,i,57688.03413131757,22.690011944994904,0.8850265486776211,0.32785966694592605
153,745,4,-51.0651558645099,465237,-27.170502281448023,15.629617101549474,i,57253.21685718757,22.690011944994904,0.887635778876247,0.3316352595747796
154,745,33,-51.090539858616346,233530,-27.744608359916402,13.69939148047167,i,56548.20196066757,22.690011944994904,0.903605026977454,0.12011388893052655
155,745,60,-51.083007571929166,680483,-27.02448643742928,17.72651043912209,i,58019.10713716757,22.690011944994904,0.907522818094491,0.8425832984939301
156,745,44,-51.07850911241436,481428,-27.478218014214455,15.75520004094466,i,57299.08602580758,22.690011944994904,0.7454731299574172,0.8875237172156729
157,745,26,-50.90701789144866,261151,-27.974264733325494,13.931713560468971,r,56633.05760037757,23.08106069602274,0.8888805403331492,0.010978285394633636
158,745,10,-51.08699381613785,230509,-27.682505772546985,13.674945102870549,r,56539.27292124758,23.08106069602274,0.8831034529350525,0.8850222965617613
159,745,44,-51.07613464381388,482121,-27.48887819460885,15.760672957248621,r,57301.08500848758,23.08106069602274,0.8582182853727891,0.6270241173325742
160,745,4,-51.00451076265732,791192,-27.013198896222494,18.84616162259282,r,58428.05973192758,23.08106069602274,0.8675874306476178,0.004040153664918722
161,745,42,-50.975527435612904,696560,-27.22001154684189,17.874368557026642,r,58073.11231472757,23.08106069602274,0.856204839163357,0.22237740375184678
162,745,47,-51.07718465587064,580264,-27.281033436972763,16.75455915497649,r,57664.10194220758,23.08106069602274,0.8381867955983043,0.1532565442378876
163,745,59,-51.07950940248838,240994,-27.872174335934588,13.756342739495595,r,56569.00340802757,23.08106069602274,0.8828549564370659,0.7233648183855271
164,745,60,-51.083008200308804,680482,-27.024477708618612,17.726506688842264,r,58019.10576737757,23.08106069602274,0.8962330122424773,0.33712135926630893
165,745,30,-51.08962772315388,358446,-27.539329496275275,14.695757774764244,z,56912.12474965757,22.53158690947751,0.6557918756927615,0.8571103165308571
166,745,26,-50.910686201298354,260782,-27.97685169197053,13.928962872993612,z,56632.05291177757,22.53158690947751,0.5734248941961929,0.289037818431103
167,745,60,-51.084002643609,676337,-26.945514330991912,17.693774150419237,z,58007.15020771758,22.53158690947751,0.7278305141209134,0.4669543416956593
168,745,54,-50.98651230835611,253720,-27.998960654656052,13.868773241356617,z,56610.06864882758,22.53158690947751,0.6795258589863657,0.8552005104895042
