ObjID,FieldID,FieldMJD,AstRange(km),AstRangeRate(km/s),AstRA(deg),AstRARate(deg/day),AstDec(deg),AstDecRate(deg/day),Ast-Sun(J2000x)(km),Ast-Sun(J2000y)(km),Ast-Sun(J2000z)(km),Ast-Sun(J2000vx)(km/s),Ast-Sun(J2000vy)(km/s),Ast-Sun(J2000vz)(km/s),Obs-Sun(J2000x)(km),Obs-Sun(J2000y)(km),Obs-Sun(J2000z)(km),Obs-Sun(J2000vx)(km/s),Obs-Sun(J2000vy)(km/s),Obs-Sun(J2000vz)(km/s),Sun-Ast-Obs(deg),V,V(H=0),fiveSigmaDepth,filter,seeingFwhmGeom,MaginFilterTrue,AstrometricSigma(mas),PhotometricSigma(mag),SNR,AstrometricSigma(deg),MaginFilter,dmagDetect,AstRATrue(deg),AstDecTrue(deg),detectorID
873,24313.0,59895.122764077285,10830284932.813265,92.36210552297196,42.49910807957622,0.0694738702454425,12.217560243373384,0.0086051269712551,7900596696.619467,7254138284.85904,2336659018.7345686,-60.00940170612337,185.93028835149977,45.62743034399569,96411133.3256397,103143477.36860023,44706732.04993107,-23.25077055402873,18.05507149709613,7.667577115064464,0.0922655052880617,21.999717158334903,18.660923181606076,23.56822675988916,g,0.9322985758778669,22.301717158334903,37.16492777074856,0.06734318638404241,15.627604334030778,1.0323591047430156e-05,22.358962708668102,0.0019161578971301255,42.499099014667216,12.217560350706815,36.0
873,46504.0,59927.11543860434,11115934922.285078,113.7445680223632,44.70327248973308,0.0684711140460073,12.493897206596415,0.0088235353535075,7734773955.257585,7767900675.702093,2462736498.588533,-60.01228370449279,185.92822476997424,45.62678731224838,21118220.819511134,133726893.49579576,57963776.591288336,-30.281058568838738,4.063748581776912,1.658580160987022,0.442223017907335,22.164555034125947,18.82576105739712,23.835402976683213,r,0.975461139489105,21.992555034125946,24.718082997495667,0.041144492014886375,25.891530943439225,6.866134165971019e-06,22.0586164523764,0.0016992235741129578,44.703275690648624,12.493895588243934,37.0
873,24346.0,59895.1388368666,10830413229.29806,92.4116724339122,42.500211444650745,0.0694675712855227,12.217695131493697,0.0086011584584857,7900513387.903723,7254396404.633243,2336722361.518116,-60.00940385870867,185.9302872942581,45.6274300235761,96378816.09528464,103168533.65904224,44717378.23751947,-23.29242440574752,18.03056954427042,7.665139046732033,0.0924326642201768,21.99980673235701,18.661012755628175,23.16903161841822,r,0.9540630553898373,21.827806732357008,35.715050060316166,0.06315772848089259,16.695715756443974,9.920847238976714e-06,21.802924251831453,0.0018295332061588762,42.500215599904,12.217698627264832,39.0
873,30916.0,59904.206004806685,10905341711.86618,98.9162003314753,43.128798209576985,0.0688700430536484,12.295409471665279,0.0085496179360967,7853516376.353104,7400008102.862357,2372455566.205048,-60.01045934034196,185.9296914688333,45.62724767132575,77150136.61210938,115677833.37880544,50139437.96093481,-26.257931511868428,14.35234833076788,6.145482510048662,0.1947405903424697,22.049402454796198,18.710608478067364,24.390875733220845,g,0.8810832741400338,22.351402454796197,19.93215041862216,0.034846469411632254,30.660384987407618,5.536708449617266e-06,22.3441264000764,0.002106792576668059,43.128792600697714,12.295411485975558,39.0
896,31257.0,59905.030853773125,13964961382.385742,63.09283492479121,337.80310880836606,0.0499261558953161,-26.779026702624105,0.0507851900685863,11618592600.144575,-4593343607.93222,-6241351975.127715,133.31522713196154,85.00347477496699,105.49246316292812,75299408.46791047,116670840.07709418,50572082.22079278,-26.13153778760949,14.232556099992962,5.996745478225918,0.6062987347781316,24.52836281749501,19.813863276404994,24.1054046604715,r,0.8181588272491411,24.35636281749501,123.7942543735873,0.24345258830518518,3.978413974839202,3.438729288155203e-05,23.994605184879575,0.0024238042138496254,337.8030473069405,-26.779027313961496,40.0
694,10481.0,59867.15389170547,20443179763.59596,146.58091879858716,335.59033600866263,0.0071107054188905,-31.611655655111377,0.0322340553745199,15992489003.773563,-7144671027.051195,-10693782392.629622,176.20331068598654,-31.93524819139924,47.53524771209244,138856022.62080026,50079152.848356575,21704241.01387141,-11.427229049178802,25.730142796665596,10.980379311106049,0.3539209319895455,24.01334463817397,21.44492164229849,24.451602943769878,g,0.9630979273386491,24.31534463817397,102.59961644237119,0.17666994035355776,5.659116690494734,2.8499893456214218e-05,24.36019904492194,0.00041294786525613637,335.59033845933635,-31.611680606588145,41.0
694,10514.0,59867.17010697025,20443385147.453136,146.61515535425295,335.5904696166468,0.0071188753579278,-31.611182581001177,0.0322386428184895,15992735743.698742,-7144715746.419624,-10693715828.366495,176.20330933008984,-31.935248104853933,47.53524792926754,138839979.2974348,50115193.81218156,21719623.737002674,-11.475330265382368,25.719552118688185,10.979271155803335,0.3539720283760829,24.01339205656832,21.44496906069284,23.983213090087993,r,0.7165052126273364,23.84139205656832,76.24238689563005,0.1758481786554253,5.687772725090145,2.117844080434168e-05,23.768899679029797,0.0007461027121217151,335.59045382614926,-31.61115788544512,41.0
873,30949.0,59904.22214430873,10905479679.326294,98.96401576461126,43.12992102132881,0.0688766539042588,12.295551187617756,0.0085459926620737,7853432722.207527,7400267287.501694,2372519170.256821,-60.010460672623374,185.9296904229328,45.62724734303411,77113506.12122172,115697816.51762436,50148005.56610866,-26.27886913008769,14.30827299249488,6.142639705871613,0.1949299628069255,22.04948876454464,18.710694787815807,23.98943756864785,r,0.806096730750469,21.87748876454464,17.88577575477621,0.03278877772973757,32.615559528659674,4.968271042993392e-06,21.868190700613184,0.0025164105005140965,43.12990417930846,12.295549442998295,42.0
746,199865.0,60196.98912311592,13243157884.259996,13.513272322334108,271.83725650861777,0.0384097622273082,1.9356571649501402,0.0364940167666907,570985992.1084183,-13260579792.086338,433512435.0346898,109.7478294755461,19.617516477415304,109.52065356924813,146643625.17115253,-31781282.497012187,-13779175.76839264,6.773468670796399,26.52703762505623,11.48644969578386,0.6313071241662643,24.524067054978143,19.59215685291592,23.994584014491235,r,0.9007651344955749,24.352067054978143,150.04597819526953,0.26548544050200995,3.6099826520333065,4.167943838757487e-05,23.801694416737718,0.0012301373466386226,271.83725597141193,1.9355521018608763,44.0
745,366259.0,60532.26144592012,30077086923.67177,32.30943959323337,10.702716542762346,0.0168498873008205,-43.90559425716217,0.0046460783118501,21405415652.30349,3930920738.2242856,-20898119290.13757,48.06544853849848,100.97734956515616,6.667618564792745,112311150.17733976,-93487432.89503284,-40528569.77635349,19.64989981262249,20.531022984682608,8.734448649401186,0.2242922573927329,24.504297902866632,23.1002756558647,24.42807606686,g,1.0243423289305238,24.806297902866632,173.79307606777203,0.26997690974574223,3.542289298158756,4.827585446327001e-05,24.04216483634216,5.736319043381615e-05,10.702686385744077,-43.90550822504314,46.0
